genre_name,genre_id
acoustic;;;;;;;;;;;;;;;;;,acoustic
acoustic;;;;;;;;;;;;;;;;,acoustic
"acoustic"";;;;;;;;;;;;;;;;;",acoustic
acoustic;;;;;;;;;;;;;;;,acoustic
acoustic;;;;;;;;;;;;;;,acoustic
afrobeat;;;;;;;;;;;;;;;,afrobeat
afrobeat;;;;;;;;;;;;;;;;;,afrobeat
afrobeat;;;;;;;;;;;;;;;;,afrobeat
afrobeat;;;;;;;;;;;;;,afrobeat
afrobeat;;;;;;;;;;;;;;,afrobeat
"afrobeat"";;;;;;;;;;;;;;;;",afrobeat
afrobeat;;;;;;;;,afrobeat
alt-rock;;;;;;;;;;;;;;;;;,altrock
alt-rock;;;;;;;;;;;;;;;;,altrock
alt-rock;;;;;;;;;;;;;;;,altrock
"alt-rock"";;;;;;;;;;;;;;;;",altrock
alt-rock;;;;;;;;;;;;;;,altrock
"alt-rock"";;;;;;;;;;;;;;;;;",altrock
alternative;;;;;;;;;;;;;;;;;,alternative
alternative;;;;;;;;;;;;;;;,alternative
alternative;;;;;;;;;;;;;;;;,alternative
"alternative"";;;;;;;;;;;;;;;;",alternative
alternative;;;;;;;;;;;;;;,alternative
"alternative"";;;;;;;;;;;;;;;;;",alternative
ambient;;;;;;;;;;;;;;;;;,ambient
ambient;;;;;;;;;;;;;;;;,ambient
ambient;;;;;;;;;;;;;;;,ambient
ambient;;;;;;;;;;;,ambient
"ambient"";;;;;;;;;;;;;;;;",ambient
ambient;;;;;;;;;;;;;;,ambient
ambient;;;;;;;;;;;;,ambient
"ambient"";;;;;;;;;;;;;;;;;",ambient
ambient;;;;;;;;;;;;;,ambient
"ambient"";;;;;;;;;;;;;;;",ambient
"ambient"";;;;;;;;;;;;;;",ambient
anime;;;;;;;;;;;;;;;;;,anime
"anime"";;;;;;;;;;;;;;;;;",anime
anime;;;;;;;;;;;;;;,anime
anime;;;;;;;;;;;;;;;,anime
anime;;;;;;;;;;;;;;;;,anime
anime;;;;;;;;;;;,anime
anime;;;;;;;;,anime
anime;;;;;;;;;;;;;,anime
"anime"";;;;;;;;;;;;;;;;",anime
anime,anime
anime;;;;;;;,anime
black-metal;;;;;;;;;;;;;;;;;,blackmetal
black-metal;;;;;;;;;;;;;;;,blackmetal
black-metal;;;;;;;;;;;;;;;;,blackmetal
bluegrass;;;;;;;;;;;;;;;;;,bluegrass
bluegrass;;;;;;;;;;;;;;;;,bluegrass
bluegrass;;;;;;;;;;;;;;;,bluegrass
bluegrass;;;;;;;;;;;,bluegrass
bluegrass;;;;;;;;;;;;,bluegrass
bluegrass;;;;;;;;;;;;;,bluegrass
bluegrass;;;;;;;;;;;;;;,bluegrass
blues;;;;;;;;;;;;;;;;;,blues
blues;;;;;;;;;;;;;;;;,blues
blues;;;;;;;;;;;;;;;,blues
blues;;;;;;;;;;;;;,blues
"blues"";;;;;;;;;;;;;;;;",blues
"blues"";;;;;;;;;;;;;;;;;",blues
blues;;;;;;;;;;;;;;,blues
brazil;;;;;;;;;;;;;;;;,brazil
brazil;;;;;;;;;;;;;;;;;,brazil
brazil;;;;;;;;;;;;;;;,brazil
brazil;;;;;;;;;;;;;;,brazil
brazil;;;;;;;;;;;,brazil
brazil;;;;;;;;;;,brazil
brazil;;;;;;;;;;;;,brazil
brazil;;;;;;;;;;;;;,brazil
brazil;,brazil
"brazil"";;;;;;;;;;;;;;;;;",brazil
"brazil"";;;;;;;;;;;;;;;;",brazil
breakbeat;;;;;;;;;;;;;;;,breakbeat
breakbeat;;;;;;;;;;;;;;,breakbeat
breakbeat;;;;;;;;;;;;;;;;,breakbeat
breakbeat;;;;;;;;;;;;;;;;;,breakbeat
breakbeat;;;;;;;;;;;;;,breakbeat
breakbeat;;;;;;;;;;;,breakbeat
"breakbeat"";;;;;;;;;;;;;;;;;",breakbeat
"breakbeat"";;;;;;;;;;;;;;;;",breakbeat
british;;;;;;;;;;;;;;;;;,british
british;;;;;;;;;;;;;;;;,british
"british"";;;;;;;;;;;;;;;;",british
british;;;;;;;;;;;;;;;,british
"british"";;;;;;;;;;;;;;;;;",british
british;;;;;;;;;;;;,british
british;;;;;;;;;;;;;;,british
british;;;;;;;;;;;;;,british
